Unnamed: 0,document,star,label
5421,"완성도, 철학, 예술성, 감동에 대중성까지 완벽속 완벽속 완벽함 ", 10,1
5422,, 10,1
5423,명배우들이 나열된 것에 비해 중박 완성도밖인건 혼나야지 , 7,1
5424,"코미디 영화 매니아로써 ""라이어라이어""의 아류일꺼라는 편견이 있었지만, 라미란 배우의 파워와 연출력이 합체되어 최상의 화학반응으로 웃음폭발 작품이 완성 되었네요. 한국 코미디의 올바른 예가 될법한 가히 명작입니다. 요즘같은 시기에 극장에서 롱런과 함께 나름의 관객수를 유지한 것만 봐도 작품성 인정받는 겁니다. ", 8,1
5425,이유도 없이 그냥 마구 죽이는 살인마들만 인기 있던 공포영화의 패러다임을 바꾼 영화... , 8,1
5426,흔한 주제라고 생각할수도있지만 영화는 지루할 틈도 없이 나에게 많은생각을 하게하고 감동과 잔잔한 여운을 주었다. 누군가 나에게 영화를 추천해달라거나 인생영화가 무엇이냐고 물으면 이 영화라고 망설이지 않고 대답할 것이다. , 10,1
5427,평점 처음 적어여ㅠㅠ제작자님들 이거 보고 반성하고 다시 공부하고 다시 신입으로 돌아가서.. 좀 다시 좀 다시ㅠㅠㅠ이거 찍는데 감독님 및 제작자님들.. 아 ㅜ 비급 영화면 이해하겠는데..재밌다고 돈 투자한거잖아여ㅠㅠ 머예여 이거ㅜㅜ 내 시간 돌려줘요 , 1,0
5428,대한민국의 암흑기였던 이명박근혜 10년 아니 9년과 똑같은 시절을 다수의 선량한 일본 국민들은 살아가고 있군.. 현재 시점의 사악한 정권에 대한 직접적 비판을 영화에 담아낸 감독과 제작진들 그리고 배우들께 힘을 보탠다! 잘봤다!! , 10,1
5429,아름다운 걸 보고 아름답다고 느낄 수 있다는 건 행복이다. , 8,1
5430,, ,0
5431,스토리는 애초에 기대도 안했고..액션씬이 아주 화끈함. 총기 고증도 몇몇 부분 제외하면 준수한편. , 8,1
5432,"내 시간을 사냥한 영화와 비교하면 괜찮은 영화지만 영화 자체만 봤을땐 너무 진부한 스토리였음.마약왕의 카리스마는 없고, 헴식이한테 올인한 영화. 나머지는 그냥 끄나풀. ", 1,0
5433,마지막 휘몰아치는 엔딩. 차를 돌리는 그순간 , 10,1
5434,지겹다. 여성이 피해자 차별받는다 혹은 여성은 신이고 남자는 쓰레기라면 무조건 명작에드는 트랜드 , 2,0
5435,최고에요!! 와우!! , 10,1
5436,내가 이영화보다가 진짜 소름돋았던건 마지막에 엽문 장례식장에서 진국곤이 선글라스 끼고 나올때가 이소룡 많이 닮았음 , 10,1
5437,총질이 난무하는 영화인데 보다가 졸기는 처음... 총소리가 너무 커서 소리 줄이면 대사가 안 들리고... 꾸역꾸역 다 보긴 했는데 보고나서 꿀잠잤음. 불면증 있으신분들께 추천하는 영화 , 1,0
5438,같은 단어라도 언어가 변하면 그 언어에 따라 성이 변하지.프랑스어와는 달리 독일어에서의 전쟁과 죽음은 남성을 갖고 태양과 사랑은 여성을 가져 인생은 중성. , 8,1
5439,우아하고 섬세하고 감미롭다. 뭔가 처음으로 진짜를 본 느낌 , 10,1
5440,이거 나는 재밌게봤어요 ㅋㅋ 천정명 넘 좋당 , 8,1
5441,군중심리인지 낮게 평점을 메긴사람에 휩쓸려 괜찮은 영화가 시작도하기 전에 묻히고있다.배우들의 훌륭한 연기와 현실감있는 연출로 몰입하게되는 영화. 감성팔이로 8점대가 즐비한 왠만한 한국영화보다 훨씬 낫다 , 8,1
5442,"라이언 일병 구하기+덩케르크. 임무완수를 위한 여정과 사실적인 표현+스토리 보다는 개인에게 초점을 맞춰 극한의 생존을 위한 몸부림을 보여주는 영화. 거기에 1917만의 연출, 편집까지. ", 10,1
5443,고퀄리티의 대한민국 만화영화 , 10,1
5444,최고의 음악 영화였습니다. , 10,1
5445,순삭간에 봤습니다. 몰입도가 장난아니네요. , 10,1
5446,어린시절 최고의 대한민국 만화영화 꼭 복원되었으면 합니다 , 10,1
5447,개꿀잼 진짜 강추!!!! , 10,1
5448,"연기,OST 긴장감까진 다 좋았는데 스토리 산으로 가고 아무리 영화라 해도 현실성 떨어지는 장면 엄청 많고 최악의 영화였음 좋아하는 배우들이라 끝까지 참고봤는데 ㄹㅇ 연기말고는 아무것도 안남는 영화 ", 2,0
5449,아~~ 이건...좀  기본은 해야지...배우들이 뭔 죄여 , 1,0
5450,와 다 들어 있네. 엔딩도 좋고. 나름 다 사연도있고 잼나다 진짜 , 8,1
5451,, 10,1
5452,"연출, 연기, 스토리, 영상, OST 모두다 최하점인 영화감상포인트에 없음 란을 추가해야 한다 ", 1,0
5453, 마이너스 평점은 없는것인가시간이 아깝다 , 1,0
5454,오랜만에 최고의 액션 꼭 보세요 , 10,1
5455,있는 그대로의 자연을 좋아하고  몇번이고 다시 태어나 살고 싶다는 건  모든 사실 앞에 거짓없이 진실하게 살아왔기때문이다. , 10,1
5456,재밌음! , 8,1
5457,이 무거운 범죄사건을 이렇게 표현하다니감독은 천재인것인가 진짜 재미없고 지루했다.이 범죄사건을 엮어 만든 유튜브 동영상이 훨씬 재밌음 , 1,0
5458,좋아하는 배우들 총집합이라 기대한 건 사실임. 연기는 뭐 말할 것도 없지만 영화의 배경이나 회수 못한 떡밥들이 너무 많고 그래서 아쉬움. 그래도 나름 긴장하면서 재미있게 봄. , 7,1
5459,생각보다 너무 재밌게 봄 , 10,1
5460,실감나게 만들긴 했는데 람보같은 주인공이 너무 허무하게 죽는다.킬링타임용 영화. , 7,1
5461,"이 영화는 살면서 수십번을 봤지만, 그 날의 내 기분에 따라서 영화가 주는 감동도 다르다. 오늘 봤을 때는 애절한 느낌으로.. 마리옹 꼬띠아르 미모에 반해버리고, 브래드 피트의 연기에 빠져 버리고, 마지막 이별의 말에 가슴을 후벼판다. ", 9,1
5462,앙~넘나 사랑스러운 영화잖아♥ 그냥 음악영화인줄 알았는데 음악은 거들뿐 주인공 볼처럼 핑크핑크한 럽스토리였어^&^ 형이 계단에 앉아서 밖에서 햇볕쬐는 엄마를 보면서 하는 말이 너무 찡하고 따뜻했어~누군가를 뒤에서 오래 지켜봐주는것 그리고 그사람이 무슨 생각을 하는지 궁금한게 사랑아닐까... , 10,1
5463,"여성 형사들이 여성피해자의 입장을 공감하여,사건을 해결해 나가는 과정,그리고 범죄자 제압하는 싸움.다 멋있었고,슬프기도 하고 재미있구요.희노애락 다 담겼어요. 또 보고싶어요. ", 8,1
5464,비슷한날 나온 넷플릭스 영화 익스트랙션이랑 너무 비교 된다.. 당연히 스케일 차이 나는건 아는데 그게 문제가 아니고 총기에 대한 이해도가 너무 없는 상태로 영화 만드신듯. 엄청난 킬러로 나오는 악당이 대로 한복판에서 탄창갈고... 액션씬에 몰입할 수가 없는 어이없는 장면이 많다. , 2,0
5465,나는 ㅈㄴ재밌었음 TV로 보는 거 추천 핸드폰은 별로 , 10,1
5466,엽문 전기영화인가?보는 내내 싸움의기술을 배우려면 쿵푸는 형편없구나 를 깨닫게.쿵푸 고수 이소룡과 엽문 만 대단하더군.가라데와 비교하게 되던뎅.가라데가 한수위던뎅 .엽문은 대단한 사람이었지만 쿵푸는 별로다  라는 생각을 보는 내내 들게하는 영화ㅋㅋ , 2,0
5467,재미있었어요~ 재미있었어요~ , 8,1
5468,뭔가 초반에는 엄청난 기대와 몰입으로 긴장을 하였으나 추격 시작하는 순간부터 진짜 이 배우들 가지고 이렇게 연출했나 생각이 듬.. , 4,0
5469,, 10,1
5470,"눈에 보이는것이 전부가 아님을, 행복을 찾기보다는 곁에 있는 행복을 느끼고,, 잔잔하지만 마음에 울림을 주는 작품이네요.인생 이란건 동전의 양면성 같습니다. '따로 또 함께'. ", 10,1
5471,성장물이 아닌 성장물. , 9,1
5472,긴장감 좋다고 말하는 애들은 얼마나 영화안봤으면 이런걸로 긴장타냐...요즘 드라마보다 김장감없어서 그나마 볼 의지를 주던 스릴러요소도 개똥이다 평점주기전에 요새영화좀봐라  감독도 연출과 순서에 답을못탔고 헤매네 자본에 눌린 결과물이면 차라리 안심하겟다 그리고 제일 터뜨려야될 마지막5분의 lsat 기회 사냥의시간을 줬으면 폭탄처럼 도망갔어야지 왜 그 기회에 병원가고 자빠빈건 감독의 클래스를 입증해주는 제일중요한 장면인듯  어쨋든 넷플 호갱짓 시켯으니 1점에서 1점더줘 2점이다 ㄱ♥새 , 2,0
5473,누구나 뭐든 할수있다. 그게 누구든. , 8,1
5474,"극본, 편집 망작을 소녀 조윤숙 연기하나로 추억의 명작을 만들었다 ", 8,1
5475,이 배우들을 써서 이렇게 어설프게 만드는 것도 능력일까? 조폭 금고를 털었는데 총과 멀리 있는 쫄보 3인방이라니 ㅉㅉ , 4,0
5476,완전 재밌습니다. 꼭 게임하는 느낌처럼 봤네요. 액션씬이 완전 리얼해요!! 토르에서의 그는 잊어얄듯 합니다. ㅎㅎ강추요!! , 10,1
5477,되게 긴장감 넘치게 꽤 재밌게 봤고 이제훈의 연기가 빛을 발했다. 우리나라에서 시도된적 없는 디스토피아 연출이 꽤나 잘만들어졌다고 생각한다. 열린결말과 마지막 장면도 좋았다. 근데 생각보다 평이 안좋아서 놀랬다. 시즌2가 나온다면 열린결말로 남긴 떡밥?같은 것들을 회수해서 더 완성도가 높아질 수 있을 것 같다. , 10,1
5478,※데이비드가 왜 찰리에게 술에 검은 유기물질 타서 줬는지 알려주세요오ㅠㅠㅠㅠ 지짜 순전히 실험하려고 맞아요???? , 8,1
5479,트페미들이랑은 차원이다른 올바른 페미니즘을 보여주는 영화 , 10,1
5480,전투 씬 만큼은 레전드. 고구려 관련 영화가 많이 나오면 좋겠다 , 9,1
5481,전 혼자 살께요 , 1,0
5482,긴장감이 아니라 그냥 볼수록 우울해지고 답답해지고 기분이 나빠짐... 남친이랑 보다가 왜 이런거 틀었냐고 싸움 , 1,0
5483,‘만물의 영장’이라는 그럴싸한 훈장을 달게 한 ‘인간의 이성’도 결국 주변 환경에서 결코 자유로울 수 없는 나약한 것에 불과함. , 7,1
5484,좀 허술하긴 해도 긴장감 있고 지루하지 않고 재미있던데 확실히 평점보다는 볼만한듯 , 8,1
5485,뭘 사냥한다는거냐? 내 시간을 사냥한거냐?? 30분 이상 보지마라~!! 30분 이상 본 자 사냥 당할 것이다. , 1,0
5486,"신선한 비쥬얼, 놀라운 긴장감. 대한민국영화에서 언제 이런 걸 느껴봤나 싶은걸요. ", 8,1
5487,"예쁘게 포장되지 않은.. 솔직한 그대로의 모습, 사춘기 소녀의 이야기... 잘 봤어요^^ ", 9,1
5488,, 10,1
5489,이런 참극을 일으킨 전두환이 잘 살아있다는게 화난다.. , 10,1
5490,코로나덕에 넷플릭스물어서 본전건진 희대의 행운작 , 1,0
5491,5점대 받을 평점은 일단 아님 예전 부터 느낀건데 인터넷에서 누가 그냥 노잼 하면 그런 편견를 가지고 영화를 감상하게 되는듯 , 8,1
5492,부잣집 애새끼 하나 때문에 몇 명이 죽는거여 , 9,1
5493,해도해도 너무 한거 아니냐고 , 1,0
5494,아름다운 작화와 잔잔하지만 감동적인 스토리. , 8,1
5495,양심이 있어라 문재인 새끼야. , 1,0
5496,새로 나온다고 해서 기대했더니...아기자기한 느낌이 없어지고 더럽다 생각드는 장면만 늘어서 실망했습니다. 배우들 연기도 구구절절 쓸데없는 대사가 많고 아이역들도 세밀하게 표현되는 장면들 대다수가 이전에 비해 훨씬 잔인해졌는데 기똥찬 스타일도 아니고 뭐하러 이걸 이렇게 자세히 보여주지 싶어서 재미없었습니다. 버디 노래가 마이 선샤인~생각나서 좋았기에 거기에 점수를 줍니다. 요새 공포물 리메이크 되는 건 다 재미없네요. , 2,0
5497,시간의 사냥을 보상받았네 개꿀딱꿀재므 , 10,1
5498,정확히 한마디 하겠다. 나름 재밌게 봤다...큰화면으로~~~* 핸드폰으로 인스턴트넷플릭스 영화에 길들여진사람에겐 재미없겠지만 .이 영화도 넷플릭스이지만 생각보다 진지하고 진중하다.. 한국 뻔한 상업 싸구려영화보다 낫다. , 8,1
5499,햄식이는 사랑이죠 ㅜㅜ , 10,1
5500,그냥  울었어요... 같은여자로서  이렇게많이 공감대가 있어본영화는 첨이예요 , 10,1
5501,"진짜 TV 방영 할 때 마다 본다. 한 100번 은 안되게 보게 되는 듯몰입도는 최강 퇴마영화중 최강이다 속편을 바라지만,,네이버에 영화평 첨이다. ", 10,1
5502,정말재미있네요. 시간 순삭입니다. , 10,1
5503,채미있었음 극장개봉작이면 최소700만찍을정도 , 10,1
5504,"스포) 콘스탄틴 이야깃거리 : 1. 팔뚝문신주문 = 숨어있는 악마나 천사를 드러내는 일종의 디텍팅 주문이다. 콘스탄틴이 배후에 가브리엘이 있을것이라 짐작하고, 사용한것. 가브리엘은 의식 내내 그 수영장 안에 숨어있었고 주문에 의해 모습이 드러난다. 2. 천국갈때 ㅗ = 손목을 그어 자살한 주인공은 신경이 끊어져 담뱃불도 못 피운다. 마지막 ㅗ는 원작처럼 존의 육체를 신이 조종하여 날린것이라는게 정설 3. 쿠키영상 있음. 조수 채즈는 사실 혼혈천사이며 쿠키영상에서 임무를 마치고 하늘로 날아간다. ", 10,1
5505,응 좌파새기들 또또 옛날얘기 꺼내서 피해의식 으으 그러면 아버지가 전쟁에서 죽었는데 안슬프냐 적당히 좌들좌들거려야지 ㅉㅉㅉ , 10,1
5506,"원작애니 먼저 보고 오신분은 실망하게 됩니다. 일본 애니 실사영화가 망하는 이유, 액션은 생각보다 괜찮은 듯 ", 8,1
5507,시즌2가나오길 기대합니다 평점 낮은사람들은 먼가?집중안한듯 너무재미있게봤어요ㅎ , 10,1
5508,키아누 미쳣다 , 10,1
5509,이제훈b_b 연기 꼭 보세요 , 10,1
5510,, 10,1
5511,그냥 멘탈 탈탈 털리고 싶으면 보세요보고있는데 그냥 나가고 싶은 기분 들고 보고 나서도 찝찝한 기분 , 1,0
5512,진짜 사냥은 이렇게 하는거다 , 8,1
5513,뺑반 ㅋ영화냐? ㅋ , 10,1
5514,그냥 딱 도박장 터는부분까지만 보고 끝내자 , 2,0
5515,브래드피트의 연기대박입니다...진짜배우다...소름돋는연기 , 9,1
5516,영화 전반적으로 감독의 자의식 과잉이 느껴져 보는 사람으로 하여금 손발이 오그라들게 한다. 이야기는 뻔하고 그것을 표현하는 방식은 상투적이면서 서툴다. 그리고 여러 부분에서 보이는 개연성의 절대적 부족함이 관객들로 하여금 흥미를 잃게 만든다. , 4,0
5517,원작의 많은 내용을 짧은 시간 안에 담아내려다보니까 원작의 재밌는 장면들이 많이 삭제되어서 조금 아쉬웠음 그래도 후반부 오리지널 장면은 기대 이상이었음 , 8,1
5518,은근 근데 웃김 피식피식 , 10,1
5519,왜때문에 이 훌륭한 배우들을 데리고 이런 영화밖에 못만드셨나요.. 안타깝네요. ㅠ_ㅠ 개연성이 너무 없어요...배우들땜에 의리로 끝까지 봤네요... , 3,0
5520,"파리를 낭만의 도시라고 하나요?도시의 모습만이 아니라 거기 살다가 사라져간 사람들도,사랑에 있어서 만큼은 자유롭고 낭만적이었던거 같습니다.그 자유와 낭만이 시간이동이라는 비현실적인 판타지 소스를 가미하니, 상당히 매력적이게 다가옵니다. 마리옹꼬띠아르도 영화분위기와 너무 잘맞구요....이상하게 생각이 많이날것같은 영화 입니다.과거의 황금기를 갈망하지만, 먼미래에는 내가사는 이 시절도 또 누군가가 갈망할수있는 황금기가 될거라는거! ", 10,1
5521,Cg 빼고 ㅋ 뭘봐야 하냐 정나 잼없다 , 2,0
5522,범죄 는 있는데 스릴은 없더라 ..  긴장감을 주려면 뭘해야 하는지 공부 더 하도록 , 2,0
5523,사토 타케루 나오면 그나마 믿고 볼 수 있는듯 , 10,1
5524,영상미와 배우들 감정선 정말 아름답고 끝까지 너무 재미있게 봤어요. 한국영화지만 외국영화같은..영화 자체가 에로틱함을 지향했다고 생각하기에 저는 개인적으로 베드신이나 낭독 장면도 과하다는 느낌 없이 봤네요. , 10,1
5525,그녀보다 불행하게 살다 간 고흐라는 남자도 있었는데 ㅠ.ㅠ , 9,1
5526,"긴장감, 영상미만으로 모든 걸 가질 순 없다, ", 4,0
5527,, 10,1
5528,"기대 크게 안했는데,깜놀~ 토르의 리얼 액션...ㅋㅋㅋ볼만 합니다...^^ ", 9,1
5529,나만죽을순없지 같이죽자아 , 9,1
5530,너무 스토리가 너무 딥 하지도 가볍지도 않아서 보는데 힘들지 않았어요 캐릭터들이 다 매력있고 개성 넘쳐서 보는데 너무 재밌었습니다 ㅎㅎ 액션은 화려한걸 너무 많이 봐서 그런지 그렇게 인상 깊지는 않더라고요ㅠㅠ 그래도 넘 재밌어요 재개봉하면 보러 갈래요 ㅎㅎ , 10,1
5531,"영상은 상업영화, 연기는 독립영화대사가 정리 되지 않은 상태로 상황주고 즉흥으로 연기를 뽑다가 이질감을 만든듯.영상 퀄를 내리던지, 연기를 상업적으로 뽑았던지 해야웰메이드가 되었을 듯 ", 4,0
5532,오랜만에 가슴 따뜻해지는 영화...남자지만 남자다봐도 참 좋은 영화네요...여자들이 훨씬 공감이 가는 영화겠지만.. , 9,1
5533,차라리 청불로 하고 시나리오를 더 파격적으로 만들면 재밌겠는데 15세에 맞추다 보니 이러지도 저러지도 못하는 전개에 배우들이 그냥 재능기부 하는거 같다 , 1,0
5534,너무 가슴 따뜻한 영화였어요 , 10,1
5535,아까운배우 데려다가 무슨 독립영화도 이보단 낳것다....ㅠ 감독님아 반성하시고 제작자들께 정말 죄송하다고 사죄드려요....배우들이 정말 아깝다...감독이란 단어조차 아까우니까 쓰지마세요. 정말정말...에라이....화난다.. , 1,0
5536,"기묘한 연출력안에서 느껴지는 여배우의 힘, 그리고 그리운 그사람.. ", 8,1
5537,왜 평점 낮은지 모르겠네 , 10,1
5538,집에서 봤는데 이정도 긴장감이면 영화관에서 봤다면 더 좋았을 듯 영화 제목이 사냥의 시간인거 보면 내용이 부실한건 아님 진짜로 사냥의 연속임 스토리가 부실하다고 하는데 그런 세세한 스토리까지는 딱히 필요 없다고 생각함 의외로 평점이 너무 낮은게 더 놀라움 , 9,1
5539,좋은 영화에요빠져들게 만드는 , 10,1
5540,나만 볼수없지 , 10,1
5541,재미 없구요 긴장감도 없구요 한국영화계의 촉망받는 남자배우들 모아다 넣고 이런결과물을 내놓은 감독은 그냥 앞으로 소규모영화나 찍으세요 , 1,0
5542,호불호가 심하게 갈리는 영화인듯 , 9,1
5543,"출연배우들이 모두 넘사벽이네.. 이런 영화는 평론가들이 싫어함. 잘 짜여진 구성과 유의미한 내용이 씨줄, 날줄로 복잡하게 얽혀있어야 점수를 많이 줌. ", 9,1
5544,최고의 영화BEST DRAGON , 10,1
5545,100번봐도 질리지 않는..클라스는 영원하다!매번봐도 빅재미!!역시 키아누 행님! , 10,1
5546,뭔가 아쉽긴 하지만 그래도 재밌다 시즌 2가 제일 재밌었음 , 9,1
5547,, ,0
5548,완젼 재밌다 일본껀 수토리 신선. 남주 왜케 잘생김 , 10,1
5549,유열의 음악앨범보다 개연성 없는 스토리인데 쓸데없이 웅장한 배경음악과 높은 긴장감때문에 더 짜증나는 영화 , 1,0
5550,경제에 대해 조금만 알고 보면 명작. , 9,1
5551,그냥..그나마 배우 연기 말고는 암것도 없으..극장에서 했음 필히 폭망했음 아주그냥 폭망. 긴장감은 무신..죄다 말이 안되더만.. , 1,0
5552,돌고래가 그럴듯 한 영상이네요 , 10,1
5553,고작 5년 전의 이야기였다니 놀랍다. 결국 배팅은 자기가 자신에게 하는 거라는 말처럼 스스로를 믿고 '여자답게' 쉽게 포기하지 말자고 다짐하게 되는 힘 나는 영화! , 9,1
5554,애니보면서 그림이 예쁘다고 느낀건 오랜만. 큰 화면으로 보면 더 좋을 듯. 근데 진짜 슬퍼ㅠㅠ , 10,1
5555,, 10,1
5556,99일동안 기다리다 사람이 아닌 모습이 되면 100일 되는 날 더 큰 세상으로 떠나보내는 게 부모의 사랑. 마지막 필름으로 사랑한다고 끝없이 말하는 알프레도. OST만 들어도 눈물이 난다... , 10,1
5557,, ,0
5558,"너무나도 감동적이라 눈물이 나는 영화라는 호평을 들어와서 이번 기회에 감동적인 영화 보며 울고 싶을때 각 잡고 봤는데 생각보다 스토리가 와닿지 않네요. 노년의 두 주인공이 반평생을 함께 사랑하는 모습 멋지고 감동적이지만 영화의 절반 이상을 차지하는 그들의 젊은 시절의 이야기와 감정선이 제게는 너무 작위적이었어요. 노아를 잊고 부유한 약혼자의 청혼을 받고 기뻐하다 갑자기 노아가 등장하니 그제서야 약혼자와 노아 사이에서 둘 다 사랑한다며 혼란스러워하는 앨리나, 앨리를 잊지 못한다며 미망인과 꼬박꼬박 잠만 자고 감정은 주지 않는 노아를 영화가 아름답게 그렸지만 실제로 제 옆에 이 사람들이 있었으면 진작에 욕하고 손절했을 것 같네요. 영원한 사랑을 유지하기 위해서 타인을 상처입혀야한다면 그 사랑의 가치가 있는걸까요. ", 1,0
5559,"진지하게 기대 안했는데,진지하게 엄청났다..실사면 무조건 까고 봤는데 ㅋㅋ ", 10,1
5560,포스터에 배우들만 보고 봐야지 결심하고 영화 시작 후 초반에 연기력에 감탄하다 중반부터 후반까지 긴장감 미쳐서 발까지 땀내면서 보는데 이건 극장편 배그인가? 하고 끝났다....이런 배우들을 데리고 이 정도 스토리의 영화라뇨 감독님 , 8,1
5561,매우 편향되었습니다. , 1,0
5562,애니메이션 최고의 수작. 제발 다시 극장에서 보고 싶다... , 10,1
5563,심각하게 못만든 영화...배정남 좋은데 연기 못보겠어ㅠㅠ왜저래..ㅠㅠ , 1,0
5564,러닝타임이 너무 짧았던게 아쉬운 영화임 영상미 OST 작화 모두 좋았지만 러닝타임이 너무 아쉬웠음....1시간 30분정도 되는 러닝타임이였음 굉장한 영화가 됬을것 , 9,1
5565,최악 ㅠ 진짜 내 시간을 사냥당했다.. , 1,0
5566,개재미있게 봄 한국 액션영화에 기대감을 갖게해준 영화 , 10,1
5567,사냥의 시간으로 사냥당한 시간을 익스트랙션으로 돌려받았다. , 10,1
5568,마지막 주사기 두개는 .. , 10,1
5569,"초반만 재밌다.,,, ", 4,0
5570,15년동안 수십번을 봤다. 키아누리브스 외모 연기가 진짜 최고로 물올랐을때.. 리즈오브리즈 , 10,1
5571,여기다 10점 다는 사람들은 돈받고 알바하는 사람이 아니라 페미니즘을 신봉해서 무보수로 10점다는 대단한 분들이다 , 1,0
5572,오랜시간동안의 정식 후속작이었지만 다운그레이드였으면 다운그레이드였지 새로울것 하나없다. , 4,0
5573,스토리가 조금 약한 부분은 있었지만 이렇게 저평가될 이유는 없다고 생각함. 연출이랑 음악 영상미가 하나로 잘 결합돼서 상당한 긴장감이 돌아서 중간중간 무서워서 멈추면서 보게 될 정도였음. 중간중간 비현실적이라고 느끼긴 했지만 이 영화는 그냥 영화로 받아들이고 보면 충분히 재미와 긴장감을 느낄 수 있는 영화라고 생각함. 개인적으론 그것마저 포용할 수 있는 허구였으니 킬링타임용으로 추천함. , 8,1
5574,토토로랑 고양이 버스 졸귀 ㅠㅠ , 8,1
5575,재개봉 해서 다시 봤는데 처음 봤을 때는 그냥 신기하고 재밌어서 입 벌리고 봤다면 이번에는 미아와 세바스찬 개인의 삶에 더 집중을 할 수 있었다. 결국 다른 길을 가게 되지만 서로를 성장시켜준 미아와 세바스찬이 참 이쁘고 고마웠다. , 10,1
5576,"노잼. 쓰레기인데 화질만 좋음. 뭔가 짱깨식 캐릭터 쓰레기 시나리오. 베리칩은 무슨ㅋㅋㅋ 핵폐기물급 쓰레기. 그런식이면야 인간을 왜 복제해. 영상만 찍으면 되는데, 딥페이크로 영상만 뽑아ㅉㅉ핵노답 쓰레기 ", 2,0
5577,기대를 안하고 봐선지 볼만 했음. 일단 평범한듯 평범하지 않은 영화. 사실 스토리는 별거 없음. 그리고 연출에서도 좀 아쉬운 부분도 있음. 적이 너무 여유 가오잡음. 기대만크게 안하면 킬링타임으로 괜춘~ , 7,1
5578,나만 스릴있고 좋나...? , 10,1
5579,일단 CG 좋다. 잘 만들었고 생각보다 어색하지않다. 스토리는 히로의 배경이 조금 더 풀렸으면 어땠을까 싶지만 이정도면 원작을 잘 엮었다. 어렵지않게 군더더기없이 잘 풀었다. 후반 배틀씬을 상당히 집중력있게 잘 만들었다. 좀 뻔하긴 하지만 난 오히려 그 점이 좋았다. , 8,1
5580,야.... 차라리 인랑을 봐라 , 1,0
5581,"기존 블레어위치 보고 이게 후속작이라길래 봤는데... 멀미만 나고 완전 아님.. 결말도 옛날이랑 다를게 없음.. 아니 차라리 옛날게 낫지, 이번엔 무슨 괴물 하나 넣어놔서 오히려 정체모를 공포가 있던 과거 작품보단 더 구려졌네요. ", 3,0
5582,깔끔한 마무리였다~뉴트야ㅠㅠ , 10,1
5583,후속작을 간절히 바래요 , 10,1
5584,평점 처음으로 쓰고싶게만든 진짜 수준 떨어지는영화 , 2,0
5585,, 10,1
5586,, ,0
5587,넷플릭스로 보다가 구려서 껐음 출연진 때문에 기대가 컸는데.. , 1,0
5588,넘 재미없어요 ㅠㅠ , 1,0
5589,파수꾼 때부터 느낀거지만연출력이 장난아님 지하주차장 카메라 앵글은 진짜 긴장감 오졌다.다만 그것만 기억에 남는 아쉬운영화 , 8,1
5590,유오성이 다한작품친구라는 영화에선 유오성은 우리나라에서 어떤 누가와도 소화못화는 역할 , 10,1
5591,죄악이란 무엇인가. 사회를 바꿀 수 있다고 믿었던 자와  바꿀 수 없다고 믿었던 자가  뒤바뀌는 엔딩씬에서  탄식과 희망이 공존하는 아이러니. , 9,1
5592,한국영화리뷰 특징: 영화과 나온 학도들이나 시나리오 좀 써본 실패자들의 놀이터.  이 정도면 볼만하지. 분석은 당신들 인생부터. , 8,1
5593,돌아왔구나 김래원이 , 10,1
5594,오 우연히 봤는데  진짜 잼있게 봤음       짜장면 3천원에 팔길래 들어가서  기대안하고 먹는데  두둥  완전 맛있어서  후루룩  맛있게 먹는 기분. , 10,1
5595,솔직히 평점이 낮을수 밖에 없지 않나?거의 두사부일체랑 코믹요소는 똑같은데....스토리도 얼추 비슷하고... , 1,0
5596,"결말만 마무리가 좋았으면 너의이름은과 호각을 다투는 것이 가능했을 애니메이션. 꼭 결말이 이래야 했었나,,, 합니다... ", 8,1
5597,아니 왜케 평점 이낮아 ㅡㅡ 이건 그냥 OO대작인데 , 10,1
5598,보지도 않고 10점 남긴 분이 계셔서 (__) , 1,0
5599,"연기, 유머, 밀당이 골고루 맛나게 버무러진 영화.간만에 재미나게 봤습니다. 이런 유머 너무 좋아요! ", 10,1
5600,"원래 평점 잘 안남기는데...영상은 좋은데 스토리가 영 부실한 것 같아요...영화보는 내내 긴장감은 있는데, 뭔가 좀....아쉽네요 ", 1,0
5601,진정한 마스터피스!감독이 천재인가봐요 , 10,1
5602,, 10,1
5603,, ,0
5604,시대의 어둠을 잘 간파하여 코믹하게 풍자했다.항상 사랑스럽고 좋은 영화. , 10,1
5605,스튜디오 지브리와 미야자키 하야오의 인생을 생각하면  정말 의미있는 작품 , 10,1
5606,넷플에서 개봉해서 천만다행10초 넘김없었으면 끝까지 안보고 나왔을 영화.개연성도 없고 인물들 떡밥회수도 못하고 총질만 두다다다 끝. 120억 주고 산 넷플이 호갱이 아니라 이거 보겠다고 넷플 가입한 사람들이 올해의 호갱^^크랭크업 후 오랜시간이 지난게 다행인 영화. 괜한 기대감만 엄청 안겨주고 똥을 줬음. 그래도 프라이머리 음악감독으론 ㄱㅊ았음 ㅋㅋㅋㅋ , 1,0
5607,"영화의 색감, 분위기, 노래 모두 최고입니다! 잔잔한 감동을 주고 여운이 오래 남는 영화입니다 ", 10,1
5608,진짜 이걸 보고 재밌다고?클리셰 범벅에 유치하고 남주 성격 개별로고 오바스럽고 진짜 재밌다고..? , 1,0
5609,모든것이 좋았던 영화 , 10,1
5610,파수꾼에 비해 돈을 들인 만큼 영화는 퇴보.. , 2,0
